Date,C_Temperature,Kph_Wind,C_Dew,Hg_Pressure,mm_Precipitation,Result
5/28/2020,39,17,23,29.62,0,Sunny
5/29/2020,40,17,21,29.62,0,Sunny
5/30/2020,38,18,23,29.68,0,Sunny
5/31/2020,37,14,24,29.71,0,Sunny
6/1/2020,35,14,24,29.74,0.3,Rainy
6/2/2020,37,9,23,29.71,4.5,Rainy
6/3/2020,32,13,22,29.71,21.5,Rainy
6/4/2020,36,17,19,29.68,0,Sunny
6/5/2020,36,13,19,29.68,0,Sunny
6/6/2020,37,15,20,29.65,0,Sunny
6/7/2020,37,15,20,29.62,0,Sunny
6/8/2020,37,16,20,29.59,2,Rainy
6/9/2020,38,14,20,29.59,3.9,Rainy
6/10/2020,29,19,23,29.59,29,Rainy
6/11/2020,26,15,23,29.56,19.4,Rainy
6/12/2020,25,21,23,29.53,65.1,Rainy
6/13/2020,28,11,23,29.56,0.2,Rainy
6/14/2020,33,15,22,29.59,0,Sunny
6/15/2020,33,16,23,29.59,0,Sunny
6/16/2020,34,17,22,29.56,8.2,Rainy
6/17/2020,34,18,22,29.59,0.6,Rainy
6/18/2020,33,18,21,29.65,0.3,Rainy
6/19/2020,32,13,22,29.68,4.9,Rainy
6/20/2020,31,14,23,29.65,8.9,Rainy
6/21/2020,31,12,23,29.59,7.4,Rainy
6/22/2020,29,15,21,29.59,0.8,Rainy
6/23/2020,33,15,22,29.62,6.3,Rainy
6/24/2020,34,7,23,29.65,1.6,Rainy
6/25/2020,33,12,23,29.65,0.9,Rainy
6/26/2020,33,13,23,29.62,0,Sunny
6/27/2020,33,13,24,29.62,2.4,Rainy
6/28/2020,35,8,24,29.62,1.5,Rainy
6/29/2020,33,7,24,29.59,22.1,Rainy
6/30/2020,33,11,24,29.59,5.3,Rainy
7/1/2020,31,10,24,29.59,24.2,Rainy
7/2/2020,32,17,23,29.59,1.8,Rainy
7/3/2020,30,15,24,29.56,13.7,Rainy
7/4/2020,29,17,23,29.56,4.6,Rainy
7/5/2020,30,17,23,29.59,1.1,Rainy
7/6/2020,30,16,22,29.59,0.9,Rainy
7/7/2020,32,9,23,29.65,2,Rainy
7/8/2020,33,11,23,29.68,0.8,Rainy
7/9/2020,33,14,23,29.62,0,Sunny
7/10/2020,33,11,24,29.59,5.7,Rainy
7/11/2020,32,10,23,29.62,1.5,Rainy
7/12/2020,33,13,23,29.62,2.3,Rainy
7/13/2020,33,10,24,29.59,7.7,Rainy
7/14/2020,30,11,24,29.62,4.3,Rainy
7/15/2020,27,14,23,29.59,4.9,Rainy
7/16/2020,30,16,22,29.59,0.1,Sunny
7/17/2020,31,14,22,29.62,0.1,Sunny
7/18/2020,31,12,23,29.65,0.5,Rainy
7/19/2020,32,11,23,29.65,0.8,Rainy
7/20/2020,32,11,24,29.62,0,Sunny
7/21/2020,32,17,24,29.65,6.8,Rainy
7/22/2020,32,12,25,29.68,10.2,Rainy
7/23/2020,27,8,23,29.71,9,Rainy
7/24/2020,29,8,23,29.74,0,Sunny
7/25/2020,32,5,23,29.74,0,Sunny
7/26/2020,32,5,24,29.74,0,Sunny
7/27/2020,33,10,23,29.68,0.3,Rainy
7/28/2020,34,7,24,29.62,4.7,Rainy
7/29/2020,32,11,25,29.59,11.9,Rainy
7/30/2020,32,10,25,29.62,8.2,Rainy
7/31/2020,33,7,25,29.62,14.5,Rainy
8/1/2020,33,9,25,29.59,9.4,Rainy
8/2/2020,30,13,24,29.59,9.6,Rainy
8/3/2020,29,19,24,29.53,12.7,Rainy
8/4/2020,28,18,23,29.5,8.3,Rainy
8/5/2020,28,16,23,29.47,1.9,Rainy
8/6/2020,31,17,23,29.5,1.8,Rainy
8/7/2020,31,13,24,29.62,2.2,Rainy
8/8/2020,30,14,24,29.62,2.1,Rainy
8/9/2020,29,14,24,29.59,7.9,Rainy
8/10/2020,24,18,23,29.62,40,Rainy
8/11/2020,27,17,23,29.68,0.3,Rainy
8/12/2020,28,14,23,29.68,4.4,Rainy
8/13/2020,24,22,22,29.68,33.3,Rainy
8/14/2020,26,19,22,29.65,0.1,Sunny
8/15/2020,25,12,23,29.65,3,Rainy
8/16/2020,27,15,23,29.65,1.7,Rainy
8/17/2020,27,18,23,29.65,8.2,Rainy
8/18/2020,28,15,24,29.62,0.3,Rainy
8/19/2020,30,17,23,29.62,0.1,Sunny
8/20/2020,26,13,24,29.59,3.6,Rainy
8/21/2020,29,12,24,29.68,10.7,Rainy
8/22/2020,31,9,25,29.71,10.9,Rainy
8/23/2020,30,11,25,29.68,15.6,Rainy
8/24/2020,29,10,25,29.71,14.9,Rainy
8/25/2020,30,9,25,29.74,4.4,Rainy
8/26/2020,26,7,25,29.74,18.4,Rainy
8/27/2020,27,8,24,29.71,3.8,Rainy
8/28/2020,29,9,24,29.68,14.7,Rainy
8/29/2020,31,11,24,29.68,1,Rainy
8/30/2020,31,9,24,29.68,6.7,Rainy
8/31/2020,31,9,25,29.71,1.7,Rainy
9/1/2020,31,9,25,29.71,2.9,Rainy
9/2/2020,29,6,25,29.71,43.2,Rainy
9/3/2020,30,10,25,29.71,3.9,Rainy
9/4/2020,30,10,25,29.74,7,Rainy
9/5/2020,30,8,25,29.71,4.9,Rainy
9/6/2020,30,9,25,29.71,0.3,Rainy
9/7/2020,31,6,26,29.71,3.6,Rainy
9/8/2020,31,8,26,29.71,1.1,Rainy
9/9/2020,31,9,25,29.71,2,Rainy
9/10/2020,30,6,25,29.62,7.7,Rainy
9/11/2020,30,6,25,29.59,24.7,Rainy
9/12/2020,25,10,24,29.65,13.7,Rainy
9/13/2020,28,13,25,29.68,35.7,Rainy
9/14/2020,27,13,24,29.65,0.3,Rainy
9/15/2020,29,9,25,29.62,4.3,Rainy
9/16/2020,29,7,26,29.62,14.2,Rainy
9/17/2020,30,9,26,29.62,30.3,Rainy
9/18/2020,30,9,26,29.59,14.7,Rainy
9/19/2020,31,7,26,29.53,28.6,Rainy
9/20/2020,28,10,25,29.53,5.6,Rainy
9/21/2020,25,10,24,29.56,10.7,Rainy
9/22/2020,27,14,24,29.59,8.5,Rainy
9/23/2020,29,12,24,29.68,1.2,Rainy
9/24/2020,30,10,24,29.74,0,Sunny
9/25/2020,30,10,25,29.71,8.5,Rainy
9/26/2020,25,13,24,29.71,14.9,Rainy
9/27/2020,26,12,23,29.74,6.4,Rainy
9/28/2020,29,9,24,29.71,2.8,Rainy
9/29/2020,30,5,25,29.68,5.1,Rainy
9/30/2020,29,6,25,29.65,12.5,Rainy
10/1/2020,27,12,24,29.65,0.2,Rainy
10/2/2020,29,10,23,29.65,0,Sunny
10/3/2020,30,10,24,29.68,0.1,Sunny
10/4/2020,28,13,23,29.68,0,Sunny
10/5/2020,28,11,22,29.68,6.1,Rainy
10/6/2020,29,10,22,29.68,0,Sunny
10/7/2020,28,8,22,29.71,0,Sunny
10/8/2020,29,5,25,29.71,21.8,Rainy
10/9/2020,28,8,25,29.74,9.1,Rainy
10/10/2020,28,5,25,29.71,8.8,Rainy
10/11/2020,28,6,25,29.62,22.4,Rainy
10/12/2020,27,8,24,29.59,16.9,Rainy
10/13/2020,26,12,24,29.5,8.4,Rainy
10/14/2020,28,6,24,29.59,2.2,Rainy
10/15/2020,28,7,24,29.65,1.7,Rainy
10/16/2020,29,5,24,29.68,16.7,Rainy
10/17/2020,29,4,25,29.68,31.1,Rainy
10/18/2020,29,4,25,29.71,11.9,Rainy
10/19/2020,28,4,25,29.68,15.8,Rainy
10/20/2020,24,7,24,29.68,31.7,Rainy
10/21/2020,27,8,24,29.68,2.9,Rainy
10/22/2020,29,8,24,29.68,0,Sunny
10/23/2020,27,10,22,29.68,0,Sunny
10/24/2020,28,9,21,29.77,0,Sunny
10/25/2020,29,4,23,29.83,2,Rainy
10/26/2020,29,5,23,29.83,1.1,Rainy
10/27/2020,28,4,22,29.83,3.7,Rainy
10/28/2020,28,5,21,29.83,0,Sunny
10/29/2020,28,4,20,29.85,0,Sunny
10/30/2020,28,7,21,29.83,0,Sunny
10/31/2020,28,6,21,29.83,0,Sunny
11/1/2020,28,6,21,29.85,0,Sunny
11/2/2020,28,6,22,29.85,0.4,Rainy
11/3/2020,29,4,23,29.85,6.7,Rainy
11/4/2020,28,4,24,29.85,33.3,Rainy
11/5/2020,28,6,23,29.88,7.2,Rainy
11/6/2020,27,10,23,29.91,3,Rainy
11/7/2020,27,10,22,29.94,0.2,Rainy
11/8/2020,27,7,22,29.97,0.4,Rainy
11/9/2020,26,8,19,29.94,0,Sunny
11/10/2020,27,5,18,29.88,0,Sunny
11/11/2020,25,10,19,29.88,0.8,Rainy
11/12/2020,25,13,23,29.91,23.3,Rainy
11/13/2020,27,10,22,29.91,5,Rainy
11/14/2020,27,10,20,29.88,0,Sunny
11/15/2020,27,13,21,29.88,4.4,Rainy
11/16/2020,27,13,22,29.88,3.4,Rainy
11/17/2020,27,11,22,29.88,0,Sunny
11/18/2020,27,10,22,29.85,0,Sunny
11/19/2020,27,8,22,29.88,0,Sunny
11/20/2020,28,4,22,29.88,0.2,Rainy
11/21/2020,28,3,21,29.88,0,Sunny
11/22/2020,28,3,21,29.91,0.9,Rainy
11/23/2020,27,8,21,29.91,0.6,Rainy
11/24/2020,26,13,18,29.88,0,Sunny
11/25/2020,23,17,17,29.85,27.5,Rainy
11/26/2020,22,20,21,29.88,45.6,Rainy
11/27/2020,21,16,20,29.91,104.5,Rainy
11/28/2020,22,12,18,29.94,0.1,Sunny
11/29/2020,25,11,19,29.94,0,Sunny
11/30/2020,26,9,20,29.94,0,Sunny
12/1/2020,26,7,19,29.97,0,Sunny
12/2/2020,27,7,20,29.91,0,Sunny
12/3/2020,26,10,19,29.88,0,Sunny
12/4/2020,26,10,20,29.85,0.1,Sunny
12/5/2020,26,10,20,29.88,0,Sunny
12/6/2020,25,11,17,29.91,0,Sunny
12/7/2020,26,9,17,29.97,0,Sunny
12/8/2020,26,10,18,29.97,0,Sunny
12/9/2020,27,6,20,29.94,0,Sunny
12/10/2020,28,4,20,29.94,0,Sunny
12/11/2020,28,5,21,29.94,0,Sunny
12/12/2020,27,4,20,29.91,0,Sunny
12/13/2020,27,4,20,29.88,0,Sunny
12/14/2020,26,6,19,29.88,0,Sunny
12/15/2020,26,9,20,29.94,0,Sunny
12/16/2020,26,10,20,29.97,0.1,Sunny
12/17/2020,27,9,19,29.94,0,Sunny
12/18/2020,27,9,20,29.94,0,Sunny
12/19/2020,26,8,20,29.97,0,Sunny
12/20/2020,26,9,19,29.97,0,Sunny
12/21/2020,26,6,18,29.94,0,Sunny
12/22/2020,26,6,17,29.91,0,Sunny
12/23/2020,26,5,18,29.91,0,Sunny
12/24/2020,25,6,18,29.88,0,Sunny
12/25/2020,26,6,19,29.91,0,Sunny
12/26/2020,27,5,20,29.94,0,Sunny
12/27/2020,27,5,20,29.91,0,Sunny
12/28/2020,27,6,19,29.88,0,Sunny
12/29/2020,26,7,19,29.88,0,Sunny
12/30/2020,25,10,17,29.91,0,Sunny
12/31/2020,25,11,18,29.94,0,Sunny
